cif_id,chgnet_total_magmom_muB,chgnet_site_magmoms_muB
mp-1121,0.4351198077201843,"[0.007207155227661133, 0.4279126524925232]"
mp-1183704,1.946995735168457,"[1.813415765762329, 0.044526562094688416, 0.04452674090862274, 0.04452666640281677]"
mp-1183687,1.9502138644456863,"[1.84958016872406, 0.03354451060295105, 0.03354461491107941, 0.033544570207595825]"
mp-1183751,1.88163161277771,"[1.6725741624832153, 0.06968581676483154, 0.0696859359741211, 0.06968569755554199]"
mp-18695,39.337644815444946,"[2.604116916656494, 2.508000373840332, 2.507969856262207, 2.508216142654419, 2.4686074256896973, 2.468881607055664, 2.46884822845459, 2.551077127456665, 2.551076889038086, 2.551076650619507, 2.5510776042938232, 2.5510761737823486, 2.5510776042938232, 2.551077365875244, 2.551076889038086, 1.39438796043396]"
mp-2090,4.387811541557312,"[2.97698712348938, 1.4108244180679321]"
mp-2773,0.37413525581359863,"[0.027462303638458252, 0.3466729521751404]"
mp-559435,9.209952354431152,"[2.8493494987487793, 2.8493247032165527, 2.602795124053955, 0.09303730726242065, 0.09303772449493408, 0.09303772449493408, 0.11674606800079346, 0.11674588918685913, 0.11674618721008301, 0.0930439829826355, 0.09304428100585938, 0.09304386377334595]"
mp-922,1.724824383854866,"[1.6422014236450195, 0.02754119038581848, 0.027541309595108032, 0.027540460228919983]"
mp-981215,0.33148056268692017,"[0.004373908042907715, 0.004373908042907715, 0.004374086856842041, 0.3183586597442627]"
mp-1206874,1.2162981927394867,"[1.2030155658721924, 0.013282626867294312]"
mp-19079,5.42750857770443,"[2.6335034370422363, 2.6335251331329346, 0.08024013042449951, 0.08023987710475922]"
mp-542488,13.812408328056335,"[0.014301896095275879, 0.014301657676696777, 0.014301657676696777, 0.014301657676696777, 0.014301538467407227, 0.014301538467407227, 0.014301657676696777, 0.014301657676696777, 0.014301538467407227, 0.014301538467407227, 0.014301776885986328, 0.014301776885986328, 1.1480859518051147, 1.1310505867004395, 1.131056785583496, 1.1310572624206543, 1.131056785583496, 1.1480846405029297, 1.1480846405029297, 1.1480934619903564, 1.1310575008392334, 1.1310482025146484, 1.131056547164917, 1.1310560703277588]"
mp-1080603,18.877043962478638,"[2.430110216140747, 2.43011474609375, 2.430109739303589, 2.5456302165985107, 2.545509099960327, 2.5454938411712646, 2.5453743934631348, 1.4047017097473145]"
mp-2767736,13.282153069972992,"[2.9733357429504395, 2.9742937088012695, 2.95579195022583, 2.9557814598083496, 0.12294763326644897, 0.12250494956970215, 0.11783385276794434, 0.11313009262084961, 0.12283104658126831, 0.11314582824707031, 0.11781620979309082, 0.12255829572677612, 0.11758077144622803, 0.11774736642837524, 0.11752909421920776, 0.1173250675201416]"
mp-1178425,9.95165467262268,"[2.81933331489563, 3.0504984855651855, 2.8193321228027344, 0.15157818794250488, 0.11501216888427734, 0.16160696744918823, 0.1488656997680664, 0.15157797932624817, 0.10836434364318848, 0.11501216888427734, 0.1616075038909912, 0.1488657295703888]"
mp-1178540,9.667107582092285,"[1.0650792121887207, 1.066996693611145, 1.1430790424346924, 1.0700125694274902, 1.143082857131958, 1.0669955015182495, 1.0700122117996216, 1.0650814771652222, 0.07263031601905823, 0.05737125873565674, 0.06039831042289734, 0.0537237823009491, 0.06018638610839844, 0.055036187171936035, 0.06018581986427307, 0.060398638248443604, 0.05372247099876404, 0.07263058423995972, 0.0550365149974823, 0.05555403232574463, 0.057370781898498535, 0.07348459959030151, 0.07348471879959106, 0.0555536150932312]"
mp-20862,0.9275497794151306,"[0.45029735565185547, 0.4508206844329834, 0.006601274013519287, 0.006601154804229736, 0.00661468505859375, 0.006614625453948975]"
mp-9945,0.8857703804969788,"[0.4192386865615845, 0.4184592366218567, 0.012015998363494873, 0.012016087770462036, 0.012020111083984375, 0.012020260095596313]"
mp-850049,1.3095630407333374,"[0.3126240372657776, 0.3126239776611328, 0.31922903656959534, 0.31923049688339233, 0.005729407072067261, 0.005729377269744873, 0.005734503269195557, 0.005734443664550781, 0.005729466676712036, 0.0057344138622283936, 0.0057344138622283936, 0.005729466676712036]"
mp-1106011,0.870379239320755,"[0.012460172176361084, 0.012459993362426758, 0.012460172176361084, 0.012460172176361084, 0.015010029077529907, 0.015010148286819458, 0.015010148286819458, 0.015010178089141846, 0.01501011848449707, 0.01501011848449707, 0.015010148286819458, 0.015010088682174683, 0.17511451244354248, 0.17511481046676636, 0.17511433362960815, 0.17511409521102905]"
mp-1344053,9.478080496191978,"[1.0750153064727783, 1.0750150680541992, 1.0750155448913574, 1.0750153064727783, 1.084261178970337, 1.0842608213424683, 1.0842612981796265, 1.0842609405517578, 0.05631977319717407, 0.0563199520111084, 0.05632010102272034, 0.05632007122039795, 0.043128132820129395, 0.04312810301780701, 0.04312795400619507, 0.04312807321548462, 0.05981336534023285, 0.05981351435184479, 0.05981329083442688, 0.0598134845495224, 0.05098229646682739, 0.050982147455215454, 0.05098232626914978, 0.05098244547843933]"
mp-583,0.7952688932418823,"[0.19348490238189697, 0.19310134649276733, 0.19276440143585205, 0.19238996505737305, 0.00588226318359375, 0.005881309509277344, 0.00588613748550415, 0.005878567695617676]"
mp-640095,0.2619123160839081,"[0.014627069234848022, 0.014632642269134521, 0.014627009630203247, 0.014632552862167358, 0.002635776996612549, 0.0026358366012573242, 0.01462709903717041, 0.014632642269134521, 0.01463252305984497, 0.01462709903717041, 0.0025817155838012695, 0.002582073211669922, 0.0338171124458313, 0.03381967544555664, 0.0334010124206543, 0.03340047597885132]"
mp-862762,0.6589585542678833,"[0.00780719518661499, 0.009817183017730713, 0.009852051734924316, 0.009824573993682861, 0.009811639785766602, 0.007823646068572998, 0.007850885391235352, 0.009828388690948486, 0.009841561317443848, 0.00984656810760498, 0.009813487529754639, 0.007829248905181885, 0.1372213363647461, 0.13858550786972046, 0.13561570644378662, 0.13758957386016846]"
mp-1400906,4.066517174243927,"[0.9571546316146851, 0.9578081369400024, 0.9580026865005493, 0.956852912902832, 0.023422926664352417, 0.023411065340042114, 0.02337336540222168, 0.02345097064971924, 0.03569862246513367, 0.03581663966178894, 0.03569039702415466, 0.035834819078445435]"
mp-1101114,17.721004396677017,"[0.012398749589920044, 0.015081822872161865, 0.011126190423965454, 0.005567282438278198, 0.01504284143447876, 0.014344543218612671, 0.01175573468208313, 0.016983628273010254, 0.004838764667510986, 0.007320195436477661, 0.008192867040634155, 0.014655828475952148, 2.819491386413574, 2.817873954772949, 2.811528205871582, 2.815903902053833, 2.803514003753662, 2.8427741527557373, 0.026282504200935364, 0.012815594673156738, 0.01787012815475464, 0.07702217996120453, 0.019687369465827942, 0.019387483596801758, 0.019095569849014282, 0.04825025796890259, 0.000790521502494812, 0.001818835735321045, 0.009901866316795349, 0.004384100437164307, 0.051957860589027405, 0.020241111516952515, 0.022598177194595337, 0.023815184831619263, 0.023367375135421753, 0.04570294916629791, 0.005334749817848206, 0.006520360708236694, 0.03520350158214569, 0.008986413478851318, 0.023196473717689514, 0.019612029194831848, 0.014784485101699829, 0.02046063542366028, 0.008583486080169678, 0.06503427028656006, 0.003832980990409851, 0.01607188582420349]"
mp-1181939,25.028826624155045,"[2.8155882358551025, 2.730010986328125, 2.8220980167388916, 2.811769485473633, 2.8149023056030273, 2.8102242946624756, 2.8159995079040527, 2.8118977546691895, 0.004285365343093872, 0.0015000998973846436, 0.002182096242904663, 0.0005574226379394531, 0.0037851035594940186, 0.0016163289546966553, 0.0019133687019348145, 0.0017540156841278076, 0.3296802043914795, 0.30748918652534485, 0.3249956965446472, 0.3304072916507721, 0.3287616968154907, 0.30796539783477783, 0.31779080629348755, 0.3316519558429718]"
mp-1277045,7.6386687979102135,"[1.0403621196746826, 1.095653772354126, 2.739804267883301, 2.66619873046875, 0.014972500503063202, 0.02810770273208618, 0.02258722484111786, 0.002922460436820984, 0.013762786984443665, 0.014297232031822205]"
mp-34457,15.16940638422966,"[0.03495776653289795, 0.02514195442199707, 0.026488542556762695, 0.03454563021659851, 0.02641117572784424, 0.02615681290626526, 0.0338345468044281, 0.03498402237892151, 0.02601483464241028, 0.026762068271636963, 0.03482881188392639, 0.03151780366897583, 2.448690891265869, 2.367969274520874, 2.4541049003601074, 2.4528045654296875, 2.456312656402588, 2.465686559677124, 0.009538531303405762, 0.0019538700580596924, 0.002948969602584839, 0.00865846872329712, 0.007548213005065918, 0.0038663148880004883, 0.002742856740951538, 0.0026774704456329346, 0.010320395231246948, 0.0046874284744262695, 0.00824582576751709, 0.008635222911834717, 0.008563041687011719, 0.0075088441371917725, 0.0018636584281921387, 0.0038625895977020264, 0.011111319065093994, 0.01110619306564331, 0.005467921495437622, 0.007500886917114258, 0.007904648780822754, 0.008530020713806152, 0.009968370199203491, 0.0069825053215026855]"
mp-626708,2.9028393030166626,"[2.746514081954956, 0.009440064430236816, 0.010846912860870361, 0.0633230209350586, 0.07271522283554077]"
mp-675208,0.9395527988672256,"[0.36763671040534973, 0.040301114320755005, 0.04138731211423874, 0.04139760136604309, 0.041394613683223724, 0.0368187353014946, 0.0311412513256073, 0.03538377583026886, 0.03998206555843353, 0.04055400937795639, 0.04179836064577103, 0.03995392471551895, 0.0414314866065979, 0.007441878318786621, 0.007744312286376953, 0.0014190673828125, 0.007887482643127441, 0.007409095764160156, 0.008015275001525879, 0.0011535882949829102, 0.0062174201011657715, 0.00856173038482666, 0.001481771469116211, 0.009048283100128174, 0.008113503456115723, 0.007511258125305176, 0.002084076404571533, 0.008292019367218018, 0.00799107551574707]"
mp-759500,9.09214748442173,"[0.0007281601428985596, 0.0002899467945098877, 0.004936382174491882, 2.861344575881958, 2.8068838119506836, 2.796750545501709, 0.09911507368087769, 0.09580469131469727, 0.09455439448356628, 0.05632397532463074, 0.05298501253128052, 0.05505397915840149, 0.05716481804847717, 0.05574226379394531, 0.05446985363960266]"
mp-760068,29.771920561790466,"[0.008918941020965576, 0.008013397455215454, 0.005277082324028015, 0.006306692957878113, 0.010316729545593262, 0.01138584315776825, 0.007161945104598999, 0.007854968309402466, 0.00511564314365387, 0.005839094519615173, 0.012247413396835327, 0.010461568832397461, 0.007375344634056091, 0.006091266870498657, 0.0028499960899353027, 0.0030554980039596558, 0.0016269385814666748, 0.002487167716026306, 0.005920156836509705, 0.005567371845245361, 0.0012737661600112915, 0.0016471892595291138, 0.0012075453996658325, 0.0014986395835876465, 0.006120786070823669, 0.005807459354400635, 0.0030360668897628784, 0.003770768642425537, 0.0038752108812332153, 0.0024477392435073853, 0.007146269083023071, 0.0076420605182647705, 2.726229190826416, 2.4688165187835693, 2.6201698780059814, 2.643005609512329, 2.698286771774292, 2.6831953525543213, 2.591252565383911, 2.5565080642700195, 0.2709384560585022, 0.28831225633621216, 0.2653980553150177, 0.2464173436164856, 0.28312039375305176, 0.30215293169021606, 0.28936538100242615, 0.27765148878097534, 0.257811576128006, 0.2594224810600281, 0.29717889428138733, 0.26032936573028564, 0.27714231610298157, 0.2622494399547577, 0.27037185430526733, 0.2830880880355835, 0.2875254452228546, 0.2850586473941803, 0.2694489061832428, 0.27541157603263855, 0.27371490001678467, 0.2711445391178131, 0.2561519742012024, 0.2488117218017578, 0.25916099548339844, 0.24656268954277039, 0.25550559163093567, 0.2363031804561615, 0.26701483130455017, 0.2680027484893799, 0.24740248918533325, 0.2669394910335541]"
mp-766445,41.74333966523409,"[4.566220760345459, 3.897656202316284, 3.930023193359375, 3.9381041526794434, 3.9454596042633057, 3.8905715942382812, 3.972352981567383, 3.910144567489624, 2.604555130004883, 2.6608688831329346, 0.7949009537696838, 2.5959744453430176, 0.07018530368804932, 0.0408627986907959, 0.06802977621555328, 0.0734858512878418, 0.06712499260902405, 0.074530228972435, 0.049939095973968506, 0.07219555974006653, 0.07669264078140259, 0.045047856867313385, 0.06864678859710693, 0.07076384127140045, 0.06997960805892944, 0.051181212067604065, 0.06510186195373535, 0.07273977994918823]"
mp-1224972,1.0116473138332367,"[0.8399167060852051, 0.10260346531867981, 0.01743781566619873, 0.017437994480133057, 0.01712566614151001, 0.01712566614151001]"
mp-1224950,0.6303989589214325,"[0.45711612701416016, 0.09261307120323181, 0.020694613456726074, 0.0206945538520813, 0.01964038610458374, 0.019640207290649414]"
mp-2761326,9.384188950061798,"[2.3127496242523193, 2.4478812217712402, 2.7494430541992188, 0.9305223226547241, 0.004058718681335449, 0.004300013184547424, 0.004057943820953369, 0.004300251603126526, 0.06108918786048889, 0.040554583072662354, 0.06108272075653076, 0.04055345058441162, 0.060978710651397705, 0.041015833616256714, 0.060971200466156006, 0.04101616144180298, 0.014915376901626587, 0.07284170389175415, 0.11107701063156128, 0.06101119518280029, 0.0149155855178833, 0.0728335976600647, 0.11102989315986633, 0.060989588499069214]"
mp-752945,4.597800076007843,"[3.2175846099853516, 1.0058562755584717, 0.09952589869499207, 0.08765330910682678, 0.08765366673469543, 0.0995263159275055]"
mp-1069379,7.013050019741058,"[6.9971489906311035, 0.004096269607543945, 0.0019072294235229492, 0.004948735237121582, 0.004948794841766357]"
mp-1208175,3.573022574186325,"[0.02326369285583496, 0.02326369285583496, 0.023829936981201172, 0.023829758167266846, 1.6926134824752808, 1.6926097869873047, 0.00852048397064209, 0.008520275354385376, 0.014563441276550293, 0.014563530683517456, 0.014563560485839844, 0.01456347107887268, 0.009158730506896973, 0.009158730506896973]"
mp-1211977,4.0277784913778305,"[0.019566833972930908, 0.01956680417060852, 0.02252495288848877, 0.022524774074554443, 1.9322118759155273, 1.9322118759155273, 0.008767932653427124, 0.008767902851104736, 0.011682182550430298, 0.011682137846946716, 0.01168203353881836, 0.011682093143463135, 0.00745353102684021, 0.007453560829162598]"
mp-1445397,11.119781151413918,"[0.017135679721832275, 0.017135679721832275, 0.017438828945159912, 0.017438828945159912, 2.675189256668091, 2.657339572906494, 2.657339572906494, 2.67518949508667, 0.07034370303153992, 0.0552501380443573, 0.055250078439712524, 0.07034358382225037, 0.0547175258398056, 0.012475669384002686, 0.05471763014793396, 0.012475907802581787]"
mp-27517,4.130165636539459,"[0.007044196128845215, 0.0070368945598602295, 0.010549485683441162, 0.010546237230300903, 2.0069119930267334, 2.0069422721862793, 0.009608983993530273, 0.009611666202545166, 0.008495509624481201, 0.00850018858909607, 0.011227846145629883, 0.011231213808059692, 0.01123124361038208, 0.011227905750274658]"
mp-550781,3.588360458612442,"[0.020297974348068237, 0.02050897479057312, 0.019410789012908936, 0.019236207008361816, 0.6862319707870483, 0.6153446435928345, 0.6867265701293945, 0.6147283315658569, 0.0170038640499115, 0.014634907245635986, 0.015245616436004639, 0.19567811489105225, 0.017372339963912964, 0.015717029571533203, 0.01723805069923401, 0.1947271227836609, 0.017167091369628906, 0.014297068119049072, 0.19425097107887268, 0.19254282116889954]"
mp-1220394,0.2484762966632843,"[0.02026630938053131, 0.020266219973564148, 0.16983294486999512, 0.011970371007919312, 0.011970490217208862, 0.007537811994552612, 0.0066321492195129395]"
mp-1221723,8.853619813919067,"[1.6412638425827026, 3.291330099105835, 3.2913293838500977, 0.5529403686523438, 0.03837805986404419, 0.03837805986404419]"
mp-1223367,0.0775565505027771,"[0.017215460538864136, 0.01721540093421936, 0.015102356672286987, 0.010045051574707031, 0.010044872760772705, 0.004593580961227417, 0.003339827060699463]"
mp-1025239,6.617320328950882,"[2.946240186691284, 2.9462380409240723, 0.6644114255905151, 0.019686341285705566, 0.019686341285705566, 0.010529100894927979, 0.010528892278671265]"
mp-1025347,0.38328544795513153,"[0.014055892825126648, 0.014055609703063965, 0.3541228175163269, 0.00023281574249267578, 0.0002327561378479004, 0.00029277801513671875, 0.00029277801513671875]"
mp-1078160,6.021735966205597,"[2.695894718170166, 2.695892333984375, 0.5373678207397461, 0.018033921718597412, 0.01803410053253174, 0.028256595134735107, 0.028256475925445557]"
mp-1077935,1.517646923661232,"[0.5182039737701416, 0.5182042121887207, 0.4592491388320923, 0.0012589097023010254, 0.0012589097023010254, 0.009735777974128723, 0.00973600149154663]"
mp-1078200,2.1659805178642273,"[0.8720903992652893, 0.8720901012420654, 0.4080977439880371, 0.0025426149368286133, 0.002542555332183838, 0.004308521747589111, 0.004308581352233887]"
mp-1078249,0.7923433035612106,"[0.7011582255363464, 0.021062083542346954, 0.021062113344669342, 0.009146928787231445, 0.00914698839187622, 0.015383422374725342, 0.015383541584014893]"
mp-1105097,0.7298262119293213,"[0.01354062557220459, 0.01354062557220459, 0.019698113203048706, 0.01969817280769348, 0.6563860177993774, 0.001771479845046997, 0.0017715394496917725, 0.0007911324501037598, 0.0007911324501037598, 0.0004595816135406494, 0.0004591047763824463, 0.0004595518112182617, 0.000459134578704834]"
mp-1181286,13.304545626044273,"[3.5257174968719482, 3.5257174968719482, 2.7635130882263184, 2.7635116577148438, 0.1374245285987854, 0.154892235994339, 0.07072599232196808, 0.1374240666627884, 0.1548931747674942, 0.07072588801383972]"
mp-1192708,19.150322526693344,"[2.246382713317871, 2.246384620666504, 2.2463831901550293, 2.246384382247925, 2.201730728149414, 2.2017312049865723, 2.284878969192505, 2.284881830215454, 1.0195951461791992, 0.014743641018867493, 0.01474374532699585, 0.014743387699127197, 0.014743447303771973, 0.00545404851436615, 0.005453944206237793, 0.005453392863273621, 0.005453616380691528, 0.010740190744400024, 0.010740295052528381, 0.011702686548233032, 0.0117025226354599, 0.013854116201400757, 0.013854041695594788, 0.00468115508556366, 0.004681095480918884, 0.009224414825439453]"
mp-1205777,0.3643689751625061,"[0.02111285924911499, 0.02111262083053589, 0.015686333179473877, 0.01568615436553955, 0.13601553440093994, 0.13601362705230713, 0.00838005542755127, 0.00838005542755127, 0.0009908676147460938, 0.0009908676147460938]"
mp-1205642,0.26240819692611694,"[0.025911569595336914, 0.02591162919998169, 0.01999610662460327, 0.019996285438537598, 0.07364135980606079, 0.07364058494567871, 0.008421659469604492, 0.008421659469604492, 0.003233671188354492, 0.003233671188354492]"
mp-1400520,2.2357842922210693,"[0.009158015251159668, 0.009158015251159668, 0.009436845779418945, 0.00943678617477417, 1.0690990686416626, 1.0691014528274536, 0.011362046003341675, 0.01136210560798645, 0.0188349187374115, 0.01883503794670105]"
mp-1412190,2.863080471754074,"[0.007695019245147705, 0.007695257663726807, 0.0035511255264282227, 0.003551185131072998, 1.388119101524353, 1.3881205320358276, 0.010453075170516968, 0.010452955961227417, 0.021720975637435913, 0.021721243858337402]"
mp-17289,11.812689751386642,"[2.783358097076416, 2.7833592891693115, 2.7567524909973145, 2.7567520141601562, 0.12255859375, 0.1225590705871582, 0.11029163002967834, 0.11029207706451416, 0.014816716313362122, 0.01641792058944702, 0.013146653771400452, 0.0033602118492126465, 0.016417905688285828, 0.041259944438934326, 0.014817103743553162, 0.016417577862739563, 0.013146817684173584, 0.04126031696796417, 0.016417846083641052, 0.003360658884048462, 0.014816582202911377, 0.013146862387657166, 0.014816761016845703, 0.01314660906791687]"
mp-19311,3.178628161549568,"[0.08197543025016785, 0.08225151896476746, 2.8758225440979004, 0.05370718240737915, 0.013476729393005371, 0.013639941811561584, 0.05370262265205383, 0.0019604861736297607, 0.002091705799102783]"
mp-2353285,4.98304209113121,"[0.02804863452911377, 0.02804875373840332, 2.4610745906829834, 2.4521777629852295, 0.0016373395919799805, 0.002604156732559204, 0.0026046037673950195, 0.0016373395919799805, 0.0026047229766845703, 0.002604186534881592]"
mp-26724,5.447650954127312,"[1.9713702201843262, 1.9713735580444336, 0.0070157647132873535, 0.002917468547821045, 0.0029173195362091064, 0.007015854120254517, 0.002917274832725525, 0.0070159584283828735, 0.002917379140853882, 0.0070159584283828735, 0.22630473971366882, 0.03152784705162048, 0.22630661725997925, 0.0018439888954162598, 0.06692048907279968, 0.031528085470199585, 0.001844555139541626, 0.03439125418663025, 0.03439146280288696, 0.0074739158153533936, 0.0315280556678772, 0.22630733251571655, 0.0031325221061706543, 0.001844257116317749, 0.06692099571228027, 0.2263050675392151, 0.003132432699203491, 0.06692031025886536, 0.03439140319824219, 0.03439107537269592, 0.03152814507484436, 0.007474005222320557, 0.0018445849418640137, 0.06692105531692505]"
mp-2740702,12.254995040595531,"[1.7995270490646362, 1.7511425018310547, 1.7585046291351318, 1.7504298686981201, 2.579080581665039, 2.5791046619415283, 0.004866898059844971, 0.004639521241188049, 0.0044488683342933655, 0.004648379981517792, 0.0046377480030059814, 0.004451371729373932, 0.004640057682991028, 0.004872903227806091]"
mp-4022,0.4119819477200508,"[0.016133025288581848, 0.01613304764032364, 0.014078676700592041, 0.01407863199710846, 0.128778874874115, 0.12877917289733887, 0.025305986404418945, 0.02530568838119507, 0.021694421768188477, 0.021694421768188477]"
