meaning,abs_pearson
B__mean__atomic_mass_norm,0.10858390880930834
B__mean__atomic_radius_norm,0.10858390844357799
global_std__OFM_component_12,0.10768323698776525
rbf_bin43__std,0.10629639180265943
global_std__OFM_component_14,0.10518276264058696
Ca__mean__electron_affinity_norm,0.10352993120629543
Ca__mean__atomic_number_norm,0.10352993068417904
Ca__mean__atomic_mass_norm,0.10352993021031096
Ca__mean__OFM_component_1,0.10352992994276974
Ca__mean__atomic_radius_norm,0.10352992994276974
rbf_bin38__mean,0.10338207291213469
Sr__mean__atomic_radius_norm,0.1024784334991834
Sr__mean__electron_affinity_norm,0.10247843165620965
Sr__mean__atomic_number_norm,0.10247843142778204
Sr__mean__OFM_component_1,0.10247843142778204
Sr__mean__atomic_mass_norm,0.10247843089801253
U__mean__electron_affinity_norm,0.10155002117753198
U__mean__atomic_radius_norm,0.10155002116463738
U__mean__OFM_component_1,0.1015500208880441
U__mean__OFM_component_8,0.1015500208880441
U__mean__OFM_component_20,0.1015500208880441
U__mean__magmom,0.10155002088804409
U__mean__atomic_mass_norm,0.10155002078013382
U__mean__atomic_number_norm,0.10155002053795148
Cu__count,0.10078820250031063
global_mean__OFM_component_23,0.09882740820348944
V__std__atomic_radius_norm,0.09812372061298336
P__std__atomic_mass_norm,0.09771263272411773
global_mean__OFM_component_15,0.09750415319481456
V__std__magmom,0.09710672758565206
U__count,0.0970718567513986
Dy__mean__electron_affinity_norm,0.09679142451378342
Dy__mean__atomic_number_norm,0.09679142442620076
Dy__mean__magmom,0.09679142422645827
Dy__mean__OFM_component_1,0.09679142422645826
Dy__mean__OFM_component_27,0.09679142422645826
Dy__mean__atomic_radius_norm,0.0967914240526083
Dy__mean__atomic_mass_norm,0.09679142405047308
Th__count,0.09597762041715771
rbf_bin27__std,0.09582127354670915
rbf_bin33__mean,0.09550142984783705
rbf_bin32__std,0.09510764231668026
Ni__std__atomic_radius_norm,0.09504618048739653
V__std__atomic_mass_norm,0.09480471353823254
Ba__mean__atomic_mass_norm,0.09378197536597968
Ba__mean__atomic_radius_norm,0.093781975015676
Ba__mean__electron_affinity_norm,0.09378197480430339
Ba__mean__OFM_component_1,0.09378197480430336
Ba__mean__atomic_number_norm,0.09378197474413871
Er__count,0.09331935762836327
Cu__mean__atomic_radius_norm,0.09311837390943271
Cu__mean__atomic_number_norm,0.09311837359749917
Cu__mean__atomic_mass_norm,0.09311837313338774
Cu__mean__OFM_component_0,0.09311837313338772
Cu__mean__OFM_component_17,0.09311837313338772
Cu__mean__magmom,0.09311837216708671
Cu__mean__electron_affinity_norm,0.09311837199184203
Nd__count,0.0911591057074623
P__std__atomic_radius_norm,0.09081503945949201
rbf_bin40__std,0.08937524574534825
rbf_bin43__mean,0.08911370601060317
Se__mean__OFM_component_5,0.08900134370711865
Se__mean__OFM_component_17,0.08900134370711865
Se__mean__electron_affinity_norm,0.08900134370711865
Se__mean__OFM_component_1,0.08900134370711865
Se__mean__atomic_mass_norm,0.08900134367729304
Se__mean__atomic_number_norm,0.08900134364722907
Se__mean__atomic_radius_norm,0.08900134358654241
Se__mean__magmom,0.08900134355655391
S__mean__atomic_mass_norm,0.08762251605747187
S__mean__magmom,0.08762251517909747
S__mean__OFM_component_5,0.08762251368459913
S__mean__OFM_component_1,0.08762251368459913
S__mean__atomic_radius_norm,0.08762251259935258
S__mean__atomic_number_norm,0.08762251223941821
S__mean__electron_affinity_norm,0.08762251180547562
Na__mean__atomic_number_norm,0.08754461139605152
Na__mean__atomic_mass_norm,0.08754461124332852
Na__mean__atomic_radius_norm,0.08754461124332852
Na__mean__OFM_component_0,0.08754461124332852
Na__mean__electron_affinity_norm,0.08754461099285382
Na__mean__magmom,0.08754461088072235
Dy__count,0.08709874099052348
rbf_bin42__std,0.08618152426722392
Tb__mean__OFM_component_1,0.08606318332702252
Tb__mean__OFM_component_26,0.08606318332702252
Tb__mean__atomic_number_norm,0.08606318332702252
Tb__mean__magmom,0.08606318332702252
Tb__mean__atomic_mass_norm,0.08606318332702251
Tb__mean__atomic_radius_norm,0.08606318332702251
Tb__mean__electron_affinity_norm,0.08606318283685388
rbf_bin30__std,0.08601639981986492
Cu__std__atomic_radius_norm,0.08515749915063775
rbf_bin13__std,0.08494717978969842
Sb__mean__atomic_mass_norm,0.08447072285622947
Sb__mean__atomic_radius_norm,0.08447072276598713
Sb__mean__OFM_component_1,0.08447072276598713
Sb__mean__OFM_component_17,0.08447072276598713
Sb__mean__OFM_component_4,0.08447072276598713
Sb__mean__atomic_number_norm,0.08447072274286348
Sb__mean__magmom,0.08447072267335581
Sb__mean__electron_affinity_norm,0.08447072259179725
rbf_bin41__std,0.08316469765493095
U__std__atomic_number_norm,0.08304682658678518
Nd__std__electron_affinity_norm,0.08276147571270137
Ba__count,0.08268402863536856
U__std__atomic_mass_norm,0.08246069903317327
global_std__OFM_component_21,0.0823689497654718
rbf_bin44__std,0.08187913733594997
rbf_bin13__mean,0.08126736790724454
global_std__OFM_component_29,0.08112975120001593
Y__count,0.08085476082460243
Te__mean__atomic_mass_norm,0.08042211732774644
Te__mean__electron_affinity_norm,0.0804221172182274
Te__mean__OFM_component_17,0.08042211714151637
Te__mean__OFM_component_1,0.08042211714151637
Te__mean__OFM_component_5,0.08042211714151637
Te__mean__atomic_number_norm,0.08042211710402336
Te__mean__atomic_radius_norm,0.08042211708549601
Te__mean__magmom,0.08042211693377574
global_mean__OFM_component_2,0.07948945188222283
Co__mean__electron_affinity_norm,0.0793864000849018
Co__mean__OFM_component_1,0.07938639465715988
Co__mean__OFM_component_14,0.07938639465715988
Co__mean__atomic_mass_norm,0.07938639441042787
Co__mean__atomic_radius_norm,0.07938638854021382
Co__mean__magmom,0.07938638804761937
Co__mean__atomic_number_norm,0.07938638109241897
N__mean__atomic_mass_norm,0.07750546640983186
N__mean__atomic_radius_norm,0.07750546557508042
N__mean__OFM_component_4,0.07750546557508042
N__mean__OFM_component_1,0.07750546557508042
N__mean__electron_affinity_norm,0.07750546416692622
N__mean__atomic_number_norm,0.07750546299128368
N__mean__magmom,0.07750546276149645
rbf_bin39__mean,0.07734622008214505
rbf_bin42__mean,0.07660078791883267
global_mean__OFM_component_6,0.07625887414927071
rbf_bin12__std,0.07521648762235816
Gd__count,0.07478090256142253
Mn__mean__magmom,0.07454815858058092
Mn__mean__electron_affinity_norm,0.07454815829831268
Mn__mean__OFM_component_1,0.07454815756167266
Mn__mean__OFM_component_12,0.07454815756167266
Mn__mean__atomic_number_norm,0.07454815729698114
Mn__mean__atomic_mass_norm,0.0745481560417248
Mn__mean__atomic_radius_norm,0.07454815493011213
Se__count,0.07420356823909309
global_mean__OFM_component_20,0.07359927244851362
Sb__count,0.0735557254000258
rbf_bin27__mean,0.07350421604293342
Cr__std__atomic_radius_norm,0.07347068884566903
rbf_bin41__mean,0.07342365555711229
Ni__std__magmom,0.07240559961361773
Ho__count,0.07239187920001909
global_mean__OFM_component_12,0.07230890305064416
rbf_bin12__mean,0.07186719723171703
Nd__std__atomic_number_norm,0.07134031235145467
global_std__OFM_component_27,0.0703647512115308
Ho__mean__magmom,0.07016516869654929
Ho__mean__OFM_component_1,0.07016516770103359
Ho__mean__atomic_number_norm,0.07016516770103359
Ho__mean__OFM_component_28,0.07016516770103359
Ho__mean__atomic_radius_norm,0.07016516753055119
Ho__mean__electron_affinity_norm,0.07016516730693742
Ho__mean__atomic_mass_norm,0.07016516659479699
Tb__count,0.07014206448980342
global_std__OFM_component_6,0.06987277693225302
Na__count,0.06970938633696222
rbf_bin40__mean,0.06931113811714078
Pr__mean__electron_affinity_norm,0.06890083229541628
Pr__mean__atomic_number_norm,0.06890083185600361
Pr__mean__magmom,0.06890083167285249
Pr__mean__atomic_radius_norm,0.06890083148489601
Pr__mean__OFM_component_20,0.06890083148489601
Pr__mean__OFM_component_1,0.06890083148489601
Pr__mean__atomic_mass_norm,0.0689008312655584
Si__std__atomic_radius_norm,0.06854782871176157
Sr__std__electron_affinity_norm,0.06853632259045496
Se__std__atomic_mass_norm,0.06828448727167227
H__std__electron_affinity_norm,0.06817789793300652
S__count,0.06759249424154139
Cr__std__atomic_number_norm,0.06750805464768446
Sr__std__atomic_mass_norm,0.06731769619527031
rbf_bin44__mean,0.06570180720009869
Ru__mean__magmom,0.06527449817492714
Ru__mean__OFM_component_0,0.06527449817492713
Ru__mean__OFM_component_14,0.06527449817492713
Ru__mean__atomic_mass_norm,0.06527449808819746
Ru__mean__electron_affinity_norm,0.06527449806101074
Ru__mean__atomic_number_norm,0.065274498048562
Ru__mean__atomic_radius_norm,0.06527449793653775
Se__std__magmom,0.06464359948632097
Si__std__magmom,0.06437588496243013
Se__std__atomic_radius_norm,0.0640341240816304
global_std__OFM_component_8,0.06261679434487909
Mg__mean__atomic_number_norm,0.06192652672950279
Mg__mean__atomic_mass_norm,0.06192652672539798
Mg__mean__electron_affinity_norm,0.061926526661518745
Mg__mean__OFM_component_1,0.061926526517769184
Mg__mean__atomic_radius_norm,0.06192652636807168
H__mean__magmom,0.06088296030837974
H__mean__OFM_component_0,0.06088295999017286
H__mean__electron_affinity_norm,0.06088295897540287
Sr__count,0.06070079598562819
rbf_bin11__std,0.06069534292358082
Ru__count,0.06057376579735473
F__count,0.06052217066880011
rbf_bin31__mean,0.060499969993715194
Li__std__magmom,0.06028818074871023
Zn__mean__electron_affinity_norm,0.05997939312246424
Zn__mean__atomic_mass_norm,0.05997939287765579
Zn__mean__atomic_radius_norm,0.05997939265174876
Zn__mean__OFM_component_17,0.059979392609174426
Zn__mean__OFM_component_1,0.059979392609174426
Zn__mean__atomic_number_norm,0.05997939198781048
Si__count,0.05996505134244119
Mg__count,0.05866651689633687
S__std__magmom,0.058485752134607154
Pr__std__electron_affinity_norm,0.05820552388045716
Lu__mean__magmom,0.05803755375379563
Lu__mean__atomic_number_norm,0.05803755327801291
Lu__mean__atomic_mass_norm,0.05803755285997372
Lu__mean__OFM_component_31,0.058037552859973716
Lu__mean__OFM_component_1,0.058037552859973716
Lu__mean__OFM_component_8,0.058037552859973716
Lu__mean__electron_affinity_norm,0.05803755274233499
Lu__mean__atomic_radius_norm,0.058037552468136355
Al__mean__electron_affinity_norm,0.05760828094475121
Al__mean__atomic_number_norm,0.05760828025322916
Al__mean__atomic_radius_norm,0.05760827984321399
Al__mean__OFM_component_1,0.057608279470265686
Al__mean__OFM_component_2,0.057608279470265686
Al__mean__magmom,0.057608279398881475
Al__mean__atomic_mass_norm,0.057608277731774266
Li__std__electron_affinity_norm,0.05759144684590299
Al__count,0.05715079296068505
Mo__std__magmom,0.05708433110950216
Pr__std__magmom,0.05654341895717274
Ti__std__atomic_radius_norm,0.0561440586282812
Cr__std__magmom,0.056135280078996166
global_std__OFM_component_26,0.05607902999192388
Al__std__atomic_radius_norm,0.05584714831820606
Pr__count,0.05555886988625668
global_std__magmom,0.054445678315712974
Na__std__electron_affinity_norm,0.05432682761169879
K__mean__atomic_number_norm,0.05414488019821382
K__mean__magmom,0.05414488019821381
K__mean__electron_affinity_norm,0.05414488019821381
K__mean__OFM_component_0,0.05414488019821381
K__mean__atomic_radius_norm,0.05414488019821381
K__mean__atomic_mass_norm,0.05414488019821381
K__count,0.053566359896839305
Tb__std__electron_affinity_norm,0.053411329918285774
Cr__std__atomic_mass_norm,0.05284280871566152
Te__count,0.05281061454634289
Si__std__electron_affinity_norm,0.05217757668087929
La__mean__magmom,0.052088806113275835
La__mean__electron_affinity_norm,0.05208880610537288
La__mean__atomic_number_norm,0.05208880608353532
La__mean__OFM_component_1,0.05208880608353532
La__mean__OFM_component_8,0.05208880608353532
La__mean__atomic_radius_norm,0.05208880493681356
La__mean__atomic_mass_norm,0.05208880491189907
Ni__std__atomic_number_norm,0.051603087754518995
Sb__std__atomic_mass_norm,0.05145236798423852
Sb__std__magmom,0.05145236798423852
F__mean__atomic_radius_norm,0.051206198653974834
F__mean__atomic_number_norm,0.051206198639578634
F__mean__OFM_component_6,0.051206198639578634
F__mean__OFM_component_1,0.051206198639578634
F__mean__electron_affinity_norm,0.051206198181205725
F__mean__magmom,0.05120619689708884
F__mean__atomic_mass_norm,0.051206196065369025
Ba__std__atomic_mass_norm,0.0510270363287992
F__std__electron_affinity_norm,0.05102354437601255
Cu__std__electron_affinity_norm,0.05093555308494256
rbf_bin11__mean,0.05085677030396252
global_mean__OFM_component_9,0.0503963864182785
F__std__atomic_mass_norm,0.05030820415756626
Co__std__atomic_number_norm,0.05013773919270571
Cu__std__magmom,0.04996491134318298
F__std__atomic_radius_norm,0.049925330998245254
As__mean__electron_affinity_norm,0.049009467847536
As__mean__atomic_radius_norm,0.049009467828441476
As__mean__OFM_component_1,0.04900946761200266
As__mean__atomic_mass_norm,0.04900946761200266
As__mean__OFM_component_4,0.04900946761200266
As__mean__OFM_component_17,0.04900946761200266
As__mean__atomic_number_norm,0.049009467612002644
As__mean__magmom,0.04900946733513572
F__std__magmom,0.04886535848142673
global_std__OFM_component_28,0.0486901834603293
Ba__std__atomic_radius_norm,0.04849106038069386
Ca__count,0.04838271563581546
global_std__OFM_component_20,0.04823575566724318
Ni__std__electron_affinity_norm,0.047599443028518
rbf_bin10__std,0.04723788344579402
rbf_bin10__mean,0.04656441253926743
Cu__std__atomic_number_norm,0.04624050651561506
Te__std__magmom,0.04582158950081876
V__std__atomic_number_norm,0.04551742556951804
global_mean__OFM_component_31,0.04523574545289083
Na__std__magmom,0.04518626300399009
Tm__count,0.04478140721191731
Mo__count,0.044711159928383135
Co__std__magmom,0.044677531318597696
Ir__count,0.044399302516009785
As__count,0.04330559581350436
Lu__count,0.04263264669299125
Th__std__electron_affinity_norm,0.04209542061818087
Eu__count,0.04204696563198469
C__std__electron_affinity_norm,0.04204665409827914
Tm__mean__magmom,0.04088477521849235
Tm__mean__atomic_mass_norm,0.04088477478057115
Tm__mean__OFM_component_1,0.04088477478057114
Tm__mean__OFM_component_30,0.04088477478057114
Tm__mean__atomic_radius_norm,0.040884774602718346
Tm__mean__electron_affinity_norm,0.04088477459206952
Tm__mean__atomic_number_norm,0.040884774585244726
Re__mean__magmom,0.040317386079284
Re__mean__OFM_component_1,0.04031738534971093
Re__mean__OFM_component_31,0.04031738534971093
Re__mean__OFM_component_12,0.04031738534971093
Re__mean__atomic_number_norm,0.04031738534971093
Re__mean__atomic_mass_norm,0.04031738499576561
Re__mean__electron_affinity_norm,0.04031738464444491
Re__mean__atomic_radius_norm,0.040317384518789016
Al__std__atomic_mass_norm,0.04023448689298431
N__std__magmom,0.039866354578477106
Ho__std__magmom,0.03981701865300241
Ho__std__atomic_mass_norm,0.03981701865300241
Te__std__atomic_number_norm,0.03946816176442018
Hf__std__atomic_radius_norm,0.039237929981935836
rbf_bin9__mean,0.03918731654282463
Sn__std__magmom,0.039041030645650655
Pr__std__atomic_number_norm,0.03895793736074113
Si__std__atomic_mass_norm,0.03868791869166284
Si__std__atomic_number_norm,0.03868791869166284
Hf__std__electron_affinity_norm,0.038521149346034726
global_std__OFM_component_16,0.03826817073963471
Ba__std__atomic_number_norm,0.0381801712567326
global_mean__OFM_component_16,0.03790713252022146
rbf_bin9__std,0.037770130546377886
Th__std__magmom,0.03754905391178302
Ho__std__electron_affinity_norm,0.03750716005897867
Sn__mean__electron_affinity_norm,0.03732699824493779
Sn__mean__atomic_mass_norm,0.03732699706296802
Sn__mean__OFM_component_3,0.03732699706296801
Sn__mean__OFM_component_1,0.03732699706296801
Sn__mean__OFM_component_17,0.03732699706296801
Sn__mean__atomic_radius_norm,0.037326997062968006
Sn__mean__atomic_number_norm,0.037326996016502946
Sn__mean__magmom,0.037326995480167185
global_mean__OFM_component_21,0.03730978552242648
Hf__std__atomic_mass_norm,0.03729634617483508
W__std__atomic_mass_norm,0.03667586254284183
Pt__mean__OFM_component_16,0.03665096679374574
Pt__mean__atomic_mass_norm,0.03665096679374574
Pt__mean__atomic_number_norm,0.03665096679374574
Pt__mean__atomic_radius_norm,0.03665096679374574
Pt__mean__electron_affinity_norm,0.03665096679374574
Pt__mean__OFM_component_0,0.03665096679374574
Pt__mean__OFM_component_31,0.03665096679374574
Pt__mean__magmom,0.03665096679374574
Eu__mean__magmom,0.036473294925437036
Eu__mean__OFM_component_24,0.03647329413175059
Eu__mean__OFM_component_1,0.03647329413175059
Eu__mean__atomic_mass_norm,0.03647329413175059
Eu__mean__atomic_radius_norm,0.03647329413175059
Eu__mean__electron_affinity_norm,0.03647329384739388
Eu__mean__atomic_number_norm,0.03647329379890165
Al__std__magmom,0.036455525723297105
Ti__count,0.03632252903047206
Br__mean__atomic_number_norm,0.03586723526905296
Br__mean__atomic_mass_norm,0.03586723525164659
Br__mean__electron_affinity_norm,0.03586723523200491
Br__mean__OFM_component_1,0.03586723510325593
Br__mean__OFM_component_17,0.03586723510325593
Br__mean__OFM_component_6,0.03586723510325593
Br__mean__atomic_radius_norm,0.03586723497745168
Br__mean__magmom,0.03586723485187014
Sr__std__atomic_radius_norm,0.03573755054014571
Co__std__electron_affinity_norm,0.03573049119449263
Gd__std__atomic_number_norm,0.035724014146778164
Sb__std__electron_affinity_norm,0.035107081669901
Zn__count,0.034991760344693125
Hf__std__magmom,0.03464117687074736
Dy__std__atomic_mass_norm,0.034464569959439875
Hf__count,0.03444192347988197
Sn__count,0.034331936130303845
Pt__count,0.03421766530450755
Y__std__electron_affinity_norm,0.03406565776739025
Sn__std__electron_affinity_norm,0.033914116737653106
Cs__mean__OFM_component_0,0.03377914308720724
Cs__mean__atomic_number_norm,0.03377914308720724
Cs__mean__atomic_radius_norm,0.03377914308720724
Cs__mean__electron_affinity_norm,0.03377914308720724
Cs__mean__magmom,0.03377914308720724
Cs__mean__atomic_mass_norm,0.03377914308720724
Cl__mean__magmom,0.03357333565682763
Cl__mean__OFM_component_1,0.033573334919506856
Cl__mean__OFM_component_6,0.033573334919506856
Cl__mean__electron_affinity_norm,0.033573334919506856
Cl__mean__atomic_number_norm,0.03357333491950685
Cl__mean__atomic_radius_norm,0.0335733339191298
Cl__mean__atomic_mass_norm,0.033573333793367216
Dy__std__electron_affinity_norm,0.03356085722641981
Ni__std__atomic_mass_norm,0.03345636277377605
Te__std__atomic_radius_norm,0.03341815571544695
Ir__mean__magmom,0.03341129501920353
Ir__mean__electron_affinity_norm,0.033411294978576395
Ir__mean__OFM_component_1,0.033411294978576395
Ir__mean__OFM_component_14,0.033411294978576395
Ir__mean__OFM_component_31,0.033411294978576395
Ir__mean__atomic_mass_norm,0.033411294978576395
Ir__mean__atomic_number_norm,0.03341129497857639
Ir__mean__atomic_radius_norm,0.03341129493655723
Te__std__atomic_mass_norm,0.033283792804400664
S__std__atomic_mass_norm,0.03317975860223251
S__std__electron_affinity_norm,0.03317975860223251
Rb__mean__atomic_radius_norm,0.03317782999149785
Rb__mean__atomic_number_norm,0.03317782995199261
Rb__mean__OFM_component_0,0.03317782995199261
Rb__mean__atomic_mass_norm,0.03317782995199261
Rb__mean__magmom,0.03317782995199261
Rb__mean__electron_affinity_norm,0.03317782995199261
rbf_bin8__mean,0.03298854881072173
Ru__std__atomic_radius_norm,0.03271726901944197
global_mean__OFM_component_18,0.03238392276427263
Rb__count,0.032383617584514385
S__std__atomic_radius_norm,0.032320124516651505
global_mean__OFM_component_8,0.031552237171182065
C__std__atomic_mass_norm,0.03132376154850412
C__std__magmom,0.03132376154850412
Br__count,0.03107243093449673
Mo__std__atomic_mass_norm,0.031042124654490195
Al__std__electron_affinity_norm,0.030952271364844634
W__std__electron_affinity_norm,0.03075891455577309
W__std__atomic_number_norm,0.03075891455577309
