feature_index,meaning,block_type,mean_abs_shap
0,Ag__count,species_block,3.862149701205908e-10
1,Ag__mean__magmom,species_block,1.5911662956114014e-09
2,Ag__mean__OFM_component_0,species_block,9.052281193362432e-09
3,Ag__mean__OFM_component_1,species_block,0.0
4,Ag__mean__OFM_component_2,species_block,0.0
5,Ag__mean__OFM_component_3,species_block,0.0
6,Ag__mean__OFM_component_4,species_block,0.0
7,Ag__mean__OFM_component_5,species_block,0.0
8,Ag__mean__OFM_component_6,species_block,0.0
9,Ag__mean__OFM_component_7,species_block,0.0
10,Ag__mean__OFM_component_8,species_block,0.0
11,Ag__mean__OFM_component_9,species_block,0.0
12,Ag__mean__OFM_component_10,species_block,0.0
13,Ag__mean__OFM_component_11,species_block,0.0
14,Ag__mean__OFM_component_12,species_block,0.0
15,Ag__mean__OFM_component_13,species_block,0.0
16,Ag__mean__OFM_component_14,species_block,0.0
17,Ag__mean__OFM_component_15,species_block,0.0
18,Ag__mean__OFM_component_16,species_block,0.0
19,Ag__mean__OFM_component_17,species_block,9.285726696361963e-10
20,Ag__mean__OFM_component_18,species_block,0.0
21,Ag__mean__OFM_component_19,species_block,0.0
22,Ag__mean__OFM_component_20,species_block,0.0
23,Ag__mean__OFM_component_21,species_block,0.0
24,Ag__mean__OFM_component_22,species_block,0.0
25,Ag__mean__OFM_component_23,species_block,0.0
26,Ag__mean__OFM_component_24,species_block,0.0
27,Ag__mean__OFM_component_25,species_block,0.0
28,Ag__mean__OFM_component_26,species_block,0.0
29,Ag__mean__OFM_component_27,species_block,0.0
30,Ag__mean__OFM_component_28,species_block,0.0
31,Ag__mean__OFM_component_29,species_block,0.0
32,Ag__mean__OFM_component_30,species_block,0.0
33,Ag__mean__OFM_component_31,species_block,0.0
34,Ag__mean__atomic_mass_norm,species_block,8.720675058100369e-09
35,Ag__mean__atomic_number_norm,species_block,1.061941854246129e-08
36,Ag__mean__atomic_radius_norm,species_block,1.540814231164589e-09
37,Ag__mean__electron_affinity_norm,species_block,1.6256288972726907e-10
38,Ag__std__magmom,species_block,0.0
39,Ag__std__OFM_component_0,species_block,0.0
40,Ag__std__OFM_component_1,species_block,0.0
41,Ag__std__OFM_component_2,species_block,0.0
42,Ag__std__OFM_component_3,species_block,0.0
43,Ag__std__OFM_component_4,species_block,0.0
44,Ag__std__OFM_component_5,species_block,0.0
45,Ag__std__OFM_component_6,species_block,0.0
46,Ag__std__OFM_component_7,species_block,0.0
47,Ag__std__OFM_component_8,species_block,0.0
48,Ag__std__OFM_component_9,species_block,0.0
49,Ag__std__OFM_component_10,species_block,0.0
50,Ag__std__OFM_component_11,species_block,0.0
51,Ag__std__OFM_component_12,species_block,0.0
52,Ag__std__OFM_component_13,species_block,0.0
53,Ag__std__OFM_component_14,species_block,0.0
54,Ag__std__OFM_component_15,species_block,0.0
55,Ag__std__OFM_component_16,species_block,0.0
56,Ag__std__OFM_component_17,species_block,0.0
57,Ag__std__OFM_component_18,species_block,0.0
58,Ag__std__OFM_component_19,species_block,0.0
59,Ag__std__OFM_component_20,species_block,0.0
60,Ag__std__OFM_component_21,species_block,0.0
61,Ag__std__OFM_component_22,species_block,0.0
62,Ag__std__OFM_component_23,species_block,0.0
63,Ag__std__OFM_component_24,species_block,0.0
